,Ca,Ba,Pb,K,Na,Mo,Fe,Mg,Pb,As,Y,Nb,Te,Ti,Ce,T,Ta,Al,Zn,V,Bi,Cu,Cr,Cs,La,Ni,Mn,Sr
Rutherfordine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haynesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoepite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilleminite,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiweeite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uranophane-_,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vandenbrandeite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Metatorbernite,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Carnotite,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
Davidite-(La),,,,,,,1,,,,,,,1,,,,,,1,,,1,,,1,,